schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,atlas_asset_systems,atlas_asset_systems_delete,PERMISSIVE,{authenticated},DELETE,atlas_asset_inventory_can_manage(tenant_id),null
public,atlas_asset_systems,atlas_asset_systems_insert,PERMISSIVE,{authenticated},INSERT,null,atlas_asset_inventory_can_manage(tenant_id)
public,atlas_asset_systems,atlas_asset_systems_select,PERMISSIVE,{authenticated},SELECT,atlas_asset_inventory_can_read(tenant_id),null
public,atlas_asset_systems,atlas_asset_systems_update,PERMISSIVE,{authenticated},UPDATE,atlas_asset_inventory_can_manage(tenant_id),atlas_asset_inventory_can_manage(tenant_id)
public,atlas_contract_budgets,atlas_contract_budgets_delete,PERMISSIVE,{authenticated},DELETE,atlas_contract_catalog_can_manage(tenant_id),null
public,atlas_contract_budgets,atlas_contract_budgets_insert,PERMISSIVE,{authenticated},INSERT,null,atlas_contract_catalog_can_manage(tenant_id)
public,atlas_contract_budgets,atlas_contract_budgets_select,PERMISSIVE,{authenticated},SELECT,atlas_contract_catalog_can_read(tenant_id),null
public,atlas_contract_budgets,atlas_contract_budgets_update,PERMISSIVE,{authenticated},UPDATE,atlas_contract_catalog_can_manage(tenant_id),atlas_contract_catalog_can_manage(tenant_id)
public,atlas_contract_catalog,atlas_contract_catalog_delete,PERMISSIVE,{authenticated},DELETE,atlas_contract_catalog_can_manage(tenant_id),null
public,atlas_contract_catalog,atlas_contract_catalog_insert,PERMISSIVE,{authenticated},INSERT,null,atlas_contract_catalog_can_manage(tenant_id)
public,atlas_contract_catalog,atlas_contract_catalog_select,PERMISSIVE,{authenticated},SELECT,atlas_contract_catalog_can_read(tenant_id),null
public,atlas_contract_catalog,atlas_contract_catalog_update,PERMISSIVE,{authenticated},UPDATE,atlas_contract_catalog_can_manage(tenant_id),atlas_contract_catalog_can_manage(tenant_id)
public,atlas_contract_sla_profiles,atlas_contract_sla_profiles_delete,PERMISSIVE,{authenticated},DELETE,atlas_contract_catalog_can_manage(tenant_id),null
public,atlas_contract_sla_profiles,atlas_contract_sla_profiles_insert,PERMISSIVE,{authenticated},INSERT,null,atlas_contract_catalog_can_manage(tenant_id)
public,atlas_contract_sla_profiles,atlas_contract_sla_profiles_select,PERMISSIVE,{authenticated},SELECT,atlas_contract_catalog_can_read(tenant_id),null
public,atlas_contract_sla_profiles,atlas_contract_sla_profiles_update,PERMISSIVE,{authenticated},UPDATE,atlas_contract_catalog_can_manage(tenant_id),atlas_contract_catalog_can_manage(tenant_id)
public,atlas_inventory_items,atlas_inventory_items_delete,PERMISSIVE,{authenticated},DELETE,atlas_asset_inventory_can_manage(tenant_id),null
public,atlas_inventory_items,atlas_inventory_items_insert,PERMISSIVE,{authenticated},INSERT,null,atlas_asset_inventory_can_manage(tenant_id)
public,atlas_inventory_items,atlas_inventory_items_select,PERMISSIVE,{authenticated},SELECT,atlas_asset_inventory_can_read(tenant_id),null
