schema_name,table_name,rls_enabled,rls_forced
public,atlas_asset_systems,true,false
public,atlas_contract_budgets,true,false
public,atlas_contract_catalog,true,false
public,atlas_contract_sla_profiles,true,false
public,atlas_events,false,false
public,atlas_glpi_entities,false,false
public,atlas_inventory_items,true,false
public,atlas_material_catalog,true,false
public,atlas_operator_sectors,true,false
public,atlas_operators,true,false
public,budget,true,false
public,contract_profiles,false,false
public,customer_aliases,true,false
public,customer_assets,false,false
public,customer_contract_links,false,false
public,customer_entities,false,false
public,customer_entity_aliases,false,false
public,customer_entity_contracts,false,false
public,customer_registration_codes,false,false
public,customers,true,false
public,download_library,true,false
public,download_resources,true,false
public,glpi_import_errors,true,false
public,glpi_import_runs,true,false
public,glpi_sync_state,false,false
public,glpi_ticket_mappings,true,false
public,help_queries,false,false
public,manuals,true,false
public,materials,true,false
public,operational_plan_consumptions,false,false
public,operational_plan_customers,false,false
public,operational_plan_events,false,false
public,operational_plan_items,false,false
public,operational_plans,false,false
public,permissions,true,false
public,role_permissions,true,false
public,roles,true,false
public,sites,true,false
public,tenant_user_scopes,true,false
public,tenant_users,true,false
public,tenants,true,false
public,ticket_attachments,true,false
public,ticket_communications,false,false
public,ticket_entity_links,false,false
public,ticket_events,true,false
public,tickets,true,false
public,todo_tasks,true,false
public,user_permission_overrides,true,false
public,work_order_activities,false,false
public,work_order_checklist_items,false,false
public,work_order_internal_notes,false,false
public,work_order_materials,false,false
public,work_order_number_sequences,false,false
public,work_order_report_templates,false,false
public,work_order_signatures,false,false
public,work_order_templates,false,false
public,work_order_versions,false,false
public,work_orders,false,false
storage,buckets,true,false
storage,buckets_analytics,true,false
storage,buckets_vectors,true,false
storage,migrations,true,false
storage,objects,true,false
storage,s3_multipart_uploads,true,false
storage,s3_multipart_uploads_parts,true,false
storage,vector_indexes,true,false
